DATE,Consumer_Price_Index,Real_Disposable_Income
4/1/2011,224.093,12721.3
5/1/2011,224.806,12705.3
6/1/2011,224.806,12756.9
7/1/2011,225.395,12805.6
8/1/2011,226.106,12799.7
9/1/2011,226.597,12781.7
10/1/2011,226.75,12791.9
11/1/2011,227.169,12782.7
12/1/2011,227.223,12898.5
1/1/2012,227.842,12967.5
2/1/2012,228.329,13029.6
3/1/2012,228.807,13066.4
4/1/2012,229.187,13116.5
5/1/2012,228.713,13112.5
6/1/2012,228.524,13097.2
7/1/2012,228.59,12999.8
8/1/2012,229.918,12961.6
9/1/2012,231.015,13053.1
10/1/2012,231.638,13142
11/1/2012,231.249,13315.7
12/1/2012,231.221,13642.7
1/1/2013,231.679,12845.5
2/1/2013,232.937,12813.9
3/1/2013,232.282,12852.1
4/1/2013,231.797,12893.4
5/1/2013,231.893,12954.2
6/1/2013,232.445,12955.7
7/1/2013,232.9,12941.8
8/1/2013,233.456,12969.6
9/1/2013,233.544,13027.5
10/1/2013,233.669,12974.6
11/1/2013,234.1,12998.9
12/1/2013,234.719,13019.1
1/1/2014,235.288,13079.5
2/1/2014,235.547,13148
3/1/2014,236.028,13219.9
4/1/2014,236.468,13270.2
5/1/2014,236.918,13312.9
6/1/2014,237.231,13360.4
7/1/2014,237.498,13386.8
8/1/2014,237.46,13445.9
9/1/2014,237.477,13486.3
10/1/2014,237.43,13550.7
11/1/2014,236.983,13624.4
12/1/2014,236.252,13719.1
1/1/2015,234.747,13797.7
2/1/2015,235.342,13848
3/1/2015,235.976,13811.3
4/1/2015,236.222,13842
5/1/2015,237.001,13865.6
6/1/2015,237.657,13874.1
7/1/2015,238.034,13905.7
8/1/2015,238.033,13935.8
9/1/2015,237.498,13972.2
10/1/2015,237.733,13996.9
11/1/2015,238.017,13993.4
12/1/2015,237.761,14060.2
1/1/2016,237.652,14121.1
2/1/2016,237.336,14135.3
3/1/2016,238.08,14135.4
4/1/2016,238.992,14106.2
5/1/2016,239.557,14095.5
6/1/2016,240.222,14104.9
7/1/2016,240.101,14160.1
8/1/2016,240.545,14176.7
9/1/2016,241.176,14209.1
10/1/2016,241.741,14235.4
11/1/2016,242.026,14273.6
12/1/2016,242.637,14313.7
1/1/2017,243.618,14373.7
2/1/2017,244.006,14416.8
3/1/2017,243.892,14476.3
4/1/2017,244.193,14509.3
5/1/2017,244.004,14610.7
6/1/2017,244.163,14618.7
7/1/2017,244.243,14660.2
8/1/2017,245.183,14678.3
9/1/2017,246.435,14706
10/1/2017,246.626,14748.6
11/1/2017,247.284,14771.1
12/1/2017,247.805,14797.9
1/1/2018,248.859,14886.6
2/1/2018,249.529,14921.1
3/1/2018,249.577,14974.8
4/1/2018,250.227,15007.2
5/1/2018,250.792,15057.8
6/1/2018,251.018,15119.3
7/1/2018,251.214,15184.7
8/1/2018,251.663,15238.6
9/1/2018,252.182,15237.5
10/1/2018,252.772,15274.1
11/1/2018,252.594,15315.2
12/1/2018,252.767,15506.5
1/1/2019,252.561,15501.7
2/1/2019,253.319,15553.7
3/1/2019,254.277,15568.9
4/1/2019,255.233,15524.4
5/1/2019,255.296,15519.6
6/1/2019,255.213,15546.4
7/1/2019,255.802,15565.7
8/1/2019,256.036,15654.1
9/1/2019,256.43,15691.3
10/1/2019,257.155,15718.1
11/1/2019,257.879,15778.2
12/1/2019,258.63,15684.8
1/1/2020,258.906,15852.5
2/1/2020,259.246,15918
3/1/2020,258.15,15696.3
4/1/2020,256.126,18020.2
5/1/2020,255.848,17104.6
6/1/2020,257.004,17035
7/1/2020,258.408,17193.2
8/1/2020,259.366,16525.8
9/1/2020,259.951,16607.9
10/1/2020,260.249,16561.9
11/1/2020,260.895,16368.1
12/1/2020,262.005,16406.1
1/1/2021,262.518,18107.3
2/1/2021,263.583,16604.9
3/1/2021,264.91,20422.6
4/1/2021,266.752,17316.6
5/1/2021,268.452,16819.1
6/1/2021,270.664,16736.3
7/1/2021,271.994,16836.1
8/1/2021,272.789,16791.7
9/1/2021,273.887,16564.3
10/1/2021,276.434,16547.4
11/1/2021,278.799,16499.8
12/1/2021,280.808,16418.5
1/1/2022,282.39,16080.8
2/1/2022,284.535,16092.7
3/1/2022,287.553,16028.1
4/1/2022,288.764,16042.6
5/1/2022,291.359,16023.2
6/1/2022,294.996,15963.4
7/1/2022,294.977,16109.3
8/1/2022,295.209,16161.4
9/1/2022,296.341,16184.9
10/1/2022,297.863,16223.5
11/1/2022,298.648,16229.6
12/1/2022,298.812,16265.1
1/1/2023,300.356,16601.9
2/1/2023,301.509,16656.1
3/1/2023,301.744,16730.2
4/1/2023,303.032,16763.9
5/1/2023,303.365,16818.5
6/1/2023,304.003,16809.5
7/1/2023,304.628,16816.4
